ID	Carat Weight	Cut	Color	Clarity	Polish	Symmetry	Report	Price
1490	 0.83 	Ideal	E	SI1	VG	VG	GIA	3538.00
1491	 2.01 	Very Good	E	VS1	VG	VG	GIA	35302.00
1492	 1.24 	Very Good	E	VS1	VG	G	GIA	10185.00
1493	 0.90 	Very Good	I	VS1	VG	VG	GIA	3844.00
1494	 1.52 	Ideal	I	SI1	ID	ID	AGSL	9067.00
1495	 0.90 	Good	E	VS2	VG	VG	GIA	4315.00
1496	 0.76 	Very Good	G	VS1	VG	G	AGSL	2818.00
1497	 1.21 	Very Good	G	VVS2	EX	VG	GIA	9358.00
1498	 1.11 	Ideal	D	VVS2	VG	VG	GIA	12016.00
1499	 1.01 	Good	F	SI1	VG	G	GIA	4816.00
1500	 1.00 	Good	G	VS2	VG	G	GIA	5081.00
1501	 2.06 	Ideal	D	VS1	EX	EX	GIA	34712.00
1502	 1.00 	Very Good	F	VVS1	VG	G	GIA	9870.00
1503	 1.25 	Ideal	G	IF	EX	EX	GIA	11233.00
1504	 2.17 	Ideal	I	SI1	EX	EX	GIA	16901.00
1505	 2.37 	Ideal	F	VS2	EX	EX	GIA	36025.00
1506	 0.85 	Ideal	I	VS1	EX	EX	GIA	3548.00
1507	 1.00 	Good	G	VS2	VG	VG	GIA	5766.00
1508	 2.05 	Ideal	G	VS1	EX	EX	GIA	28519.00
1509	 2.41 	Very Good	G	VS1	EX	EX	GIA	36644.00
1510	 1.24 	Ideal	I	SI1	EX	EX	GIA	6381.00
1511	 0.91 	Ideal	F	SI1	EX	EX	GIA	5176.00
1512	 1.01 	Very Good	G	VS1	VG	EX	GIA	7179.00
1513	 1.01 	Good	G	VS2	VG	VG	GIA	5770.00
1514	 1.56 	Ideal	I	VS2	ID	ID	AGSL	10333.00
1515	 1.25 	Signature-Ideal	E	VS1	ID	ID	AGSL	12869.00
1516	 1.19 	Signature-Ideal	F	VS1	ID	ID	AGSL	10572.00
1517	 2.13 	Ideal	G	VVS1	EX	EX	GIA	36372.00
1518	 2.12 	Ideal	G	VS2	ID	ID	AGSL	26221.00
1519	 1.61 	Ideal	F	SI1	ID	ID	AGSL	11844.00
1520	 1.54 	Very Good	E	VVS2	EX	VG	GIA	19810.00
1521	 1.42 	Very Good	G	VVS2	EX	VG	GIA	12891.00
1522	 2.00 	Ideal	H	VVS1	EX	VG	GIA	26746.00
1523	 0.90 	Very Good	F	SI1	VG	EX	GIA	3950.00
1524	 1.02 	Very Good	H	SI1	EX	EX	GIA	5259.00
1525	 1.35 	Ideal	H	IF	VG	EX	GIA	10067.00
1526	 0.90 	Very Good	G	SI1	EX	VG	GIA	3752.00
1527	 2.00 	Very Good	G	VS1	VG	VG	GIA	26869.00
1528	 2.01 	Ideal	G	SI1	VG	VG	GIA	18339.00
1529	 1.15 	Signature-Ideal	E	VS1	EX	EX	GIA	11014.00
1530	 2.04 	Ideal	I	SI1	VG	VG	GIA	16036.00
1531	 1.01 	Good	G	VS2	EX	EX	GIA	6126.00
1532	 2.19 	Ideal	G	VVS1	EX	EX	GIA	35051.00
1533	 0.92 	Good	I	SI1	G	G	GIA	3329.00
1534	 1.39 	Ideal	D	SI1	ID	ID	AGSL	9519.00
1535	 2.02 	Very Good	G	SI1	VG	G	GIA	21075.00
1536	 1.18 	Ideal	F	VVS2	ID	ID	AGSL	10324.00
1537	 1.00 	Very Good	F	VVS2	VG	VG	GIA	9248.00
1538	 0.82 	Ideal	D	VS2	EX	EX	GIA	4628.00
1539	 1.02 	Very Good	F	SI1	EX	VG	AGSL	5386.00
1540	 0.90 	Very Good	D	SI1	VG	G	GIA	4537.00
1541	 0.75 	Ideal	D	VS2	ID	ID	AGSL	3679.00
1542	 1.57 	Ideal	H	VS2	VG	EX	GIA	12004.00
1543	 2.03 	Ideal	F	VS2	EX	EX	GIA	26365.00
1544	 1.72 	Ideal	E	VS2	VG	EX	GIA	19920.00
1545	 0.90 	Ideal	F	SI1	EX	VG	GIA	4795.00
1546	 0.88 	Very Good	F	VVS2	VG	VG	GIA	5052.00
1547	 0.75 	Very Good	D	SI1	G	G	GIA	3046.00
1548	 2.01 	Good	I	VS2	VG	VG	GIA	15147.00
1549	 1.15 	Very Good	E	VS1	VG	G	GIA	8906.00
1550	 1.24 	Ideal	H	VS1	EX	EX	GIA	8299.00
1551	 1.00 	Very Good	E	SI1	VG	VG	GIA	5571.00
1552	 1.15 	Ideal	G	VS1	VG	EX	GIA	8109.00
1553	 1.02 	Good	H	SI1	VG	G	GIA	4654.00
1554	 1.01 	Fair	E	SI1	VG	VG	GIA	5085.00
1555	 2.01 	Ideal	D	VS1	VG	VG	GIA	37701.00
1556	 1.36 	Very Good	G	IF	EX	VG	GIA	12515.00
1557	 1.11 	Very Good	G	VS1	EX	EX	GIA	8129.00
1558	 1.80 	Ideal	G	VS2	EX	EX	GIA	20343.00
1559	 1.04 	Very Good	G	IF	VG	G	GIA	8225.00
1560	 1.04 	Ideal	H	SI1	EX	EX	GIA	6458.00
1561	 1.21 	Ideal	I	VS1	ID	ID	AGSL	6418.00
1562	 0.92 	Ideal	H	SI1	EX	EX	GIA	4325.00
1563	 0.82 	Ideal	I	VS2	VG	VG	GIA	2759.00
1564	 1.01 	Good	E	SI1	EX	VG	GIA	4713.00
1565	 1.24 	Ideal	H	VVS1	ID	ID	AGSL	8693.00
1566	 0.77 	Good	I	VS1	VG	G	AGSL	2184.00
1567	 0.93 	Very Good	G	VS2	VG	VG	GIA	5181.00
1568	 0.81 	Ideal	E	SI1	EX	VG	GIA	3109.00
1569	 1.24 	Ideal	G	VS2	EX	VG	GIA	8797.00
1570	 2.01 	Ideal	F	VS2	VG	VG	GIA	27241.00
1571	 0.90 	Fair	D	SI1	VG	VG	GIA	4105.00
1572	 1.81 	Ideal	G	VVS2	EX	EX	GIA	24561.00
1573	 0.81 	Good	I	VS1	G	G	GIA	3042.00
1574	 2.00 	Very Good	D	VS1	EX	VG	GIA	30542.00
1575	 0.90 	Very Good	D	SI1	EX	VG	GIA	4799.00
1576	 2.01 	Very Good	F	SI1	G	VG	GIA	19789.00
1577	 1.05 	Very Good	G	SI1	ID	ID	AGSL	5197.00
1578	 1.24 	Very Good	G	VS1	VG	EX	GIA	9738.00
1579	 0.90 	Good	H	VS1	VG	VG	GIA	3796.00
1580	 2.15 	Ideal	I	VS2	EX	EX	GIA	19592.00
1581	 0.82 	Very Good	I	SI1	G	VG	GIA	2602.00
1582	 1.10 	Good	G	SI1	VG	VG	GIA	5468.00
1583	 1.35 	Ideal	H	SI1	VG	G	GIA	7780.00
1584	 1.00 	Very Good	F	VS2	EX	EX	GIA	6267.00
1585	 0.75 	Very Good	D	VVS1	G	VG	GIA	5239.00
1586	 1.09 	Very Good	F	SI1	VG	G	GIA	5463.00
1587	 1.22 	Ideal	G	VS1	ID	ID	AGSL	9339.00
1588	 0.84 	Very Good	I	VVS2	EX	ID	AGSL	3392.00
1589	 1.80 	Very Good	I	SI1	VG	G	GIA	11793.00
1590	 1.14 	Very Good	H	VS2	VG	VG	GIA	6103.00
1591	 1.07 	Signature-Ideal	F	SI1	EX	EX	GIA	7357.00
1592	 1.23 	Ideal	I	SI1	EX	EX	GIA	6449.00
1593	 2.01 	Good	I	VS2	EX	EX	GIA	16304.00
1594	 1.03 	Ideal	E	VVS2	VG	VG	GIA	9712.00
1595	 1.07 	Signature-Ideal	G	VS1	ID	ID	AGSL	8456.00
1596	 1.68 	Ideal	G	VS1	VG	EX	GIA	16985.00
1597	 1.01 	Ideal	D	VVS2	ID	ID	AGSL	11082.00
1598	 1.29 	Ideal	D	VS2	EX	EX	GIA	11182.00
1599	 1.23 	Very Good	G	VS1	G	G	GIA	8494.00
1600	 1.01 	Very Good	I	SI1	EX	VG	GIA	4794.00
1601	 1.01 	Ideal	I	VS1	EX	VG	GIA	5182.00
1602	 2.06 	Ideal	E	SI1	VG	G	GIA	24226.00
1603	 1.20 	Good	I	VS1	VG	VG	GIA	5600.00
1604	 1.01 	Very Good	H	SI1	VG	VG	GIA	4868.00
1605	 1.50 	Ideal	G	VS2	ID	ID	AGSL	13135.00
1606	 0.77 	Very Good	D	VS2	G	VG	GIA	3787.00
1607	 1.61 	Very Good	G	SI1	VG	G	GIA	12028.00
1608	 1.01 	Very Good	E	VS2	EX	EX	GIA	6754.00
1609	 1.01 	Good	G	VS2	EX	G	AGSL	5614.00
1610	 2.02 	Very Good	I	VS2	G	G	GIA	15759.00
1611	 0.90 	Good	F	VS2	VG	EX	GIA	4268.00
1612	 0.76 	Signature-Ideal	I	VS2	EX	EX	GIA	3075.00
1613	 0.78 	Ideal	G	VS1	EX	EX	GIA	3147.00
1614	 1.11 	Very Good	D	VVS1	VG	VG	GIA	12200.00
1615	 1.57 	Ideal	E	VVS2	VG	VG	GIA	21465.00
1616	 1.23 	Very Good	G	VVS2	EX	EX	GIA	9999.00
1617	 2.39 	Ideal	I	VS1	EX	EX	GIA	23625.00
1618	 1.02 	Very Good	H	SI1	VG	VG	GIA	4508.00
1619	 0.88 	Very Good	I	SI1	G	G	GIA	2699.00
1620	 0.77 	Ideal	I	VS1	EX	EX	GIA	2798.00
1621	 1.51 	Ideal	H	VS1	EX	EX	GIA	10186.00
1622	 1.26 	Ideal	H	VS1	EX	EX	GIA	8238.00
1623	 1.21 	Ideal	I	SI1	VG	VG	GIA	5452.00
1624	 0.90 	Ideal	E	SI1	VG	VG	GIA	4471.00
1625	 1.24 	Ideal	G	VS2	EX	EX	GIA	9209.00
1626	 2.10 	Very Good	D	SI1	VG	VG	GIA	19644.00
1627	 1.00 	Very Good	H	VS1	EX	VG	GIA	5619.00
1628	 1.00 	Ideal	F	VS1	EX	EX	GIA	7928.00
1629	 0.76 	Ideal	I	VS1	ID	ID	AGSL	2679.00
1630	 1.01 	Ideal	G	VS2	VG	EX	GIA	6449.00
1631	 1.13 	Very Good	G	VVS1	EX	EX	GIA	9357.00
1632	 0.91 	Ideal	I	VVS2	ID	ID	AGSL	4663.00
1633	 2.03 	Very Good	I	VS2	VG	VG	GIA	17297.00
1634	 1.01 	Very Good	I	SI1	EX	VG	AGSL	4243.00
1635	 0.90 	Very Good	E	SI1	VG	VG	GIA	4324.00
1636	 1.21 	Very Good	I	SI1	G	VG	GIA	5452.00
1637	 1.28 	Ideal	E	VS2	VG	VG	GIA	9568.00
1638	 1.04 	Ideal	I	IF	VG	VG	GIA	6155.00
1639	 1.72 	Ideal	F	VS2	VG	EX	GIA	17779.00
1640	 1.52 	Very Good	G	VS1	VG	VG	GIA	13492.00
1641	 2.20 	Very Good	H	VS2	EX	EX	GIA	20072.00
1642	 2.00 	Very Good	H	SI1	EX	EX	GIA	8803.00
1643	 1.50 	Ideal	F	VS2	EX	EX	GIA	13955.00
1644	 2.20 	Good	I	VS1	VG	VG	GIA	19830.00
1645	 1.71 	Ideal	D	SI1	EX	EX	GIA	16575.00
1646	 2.00 	Very Good	E	VS2	VG	VG	GIA	24530.00
1647	 1.65 	Ideal	I	SI1	EX	EX	GIA	10365.00
1648	 1.62 	Ideal	H	VVS2	VG	VG	GIA	13843.00
1649	 1.70 	Very Good	G	VS2	EX	EX	GIA	18107.00
1650	 1.00 	Good	E	VS2	G	G	GIA	6445.00
1651	 1.00 	Good	D	VS2	VG	G	GIA	6389.00
1652	 1.72 	Ideal	G	VVS2	VG	EX	GIA	19353.00
1653	 1.53 	Ideal	G	SI1	EX	VG	GIA	10947.00
1654	 2.01 	Very Good	H	VS2	VG	G	GIA	19044.00
1655	 1.21 	Good	E	SI1	VG	VG	GIA	6861.00
1656	 1.17 	Very Good	H	IF	G	G	GIA	7644.00
1657	 2.04 	Very Good	I	VS1	G	G	GIA	18127.00
1658	 1.22 	Very Good	G	VVS1	VG	G	GIA	10529.00
1659	 0.90 	Very Good	I	VS1	VG	VG	GIA	3880.00
1660	 1.04 	Ideal	G	VS1	EX	EX	GIA	7467.00
1661	 1.53 	Very Good	I	SI1	EX	EX	GIA	7971.00
1662	 1.06 	Very Good	D	SI1	G	G	GIA	5893.00
1663	 1.04 	Ideal	G	VVS2	EX	EX	GIA	8515.00
1664	 2.48 	Ideal	D	VVS1	EX	EX	GIA	67382.00
1665	 0.80 	Ideal	H	IF	EX	VG	GIA	3831.00
1666	 1.12 	Ideal	H	IF	EX	VG	GIA	7971.00
1667	 1.01 	Very Good	G	VVS2	G	G	GIA	7226.00
1668	 2.09 	Ideal	D	VS1	EX	EX	GIA	38627.00
1669	 1.54 	Ideal	F	VS1	VG	VG	GIA	17194.00
1670	 0.92 	Good	I	VS2	G	G	GIA	3785.00
1671	 1.45 	Very Good	I	IF	EX	VG	GIA	9683.00
1672	 2.48 	Very Good	F	VVS1	VG	VG	GIA	50585.00
1673	 1.20 	Very Good	I	SI1	EX	EX	GIA	5955.00
1674	 0.83 	Ideal	G	VS2	EX	EX	GIA	3849.00
1675	 1.00 	Very Good	H	SI1	EX	VG	GIA	5161.00
1676	 2.43 	Very Good	E	VS1	VG	VG	GIA	44379.00
1677	 1.02 	Ideal	H	SI1	EX	EX	GIA	5301.00
1678	 0.77 	Signature-Ideal	F	SI1	EX	EX	GIA	3702.00
1679	 1.00 	Very Good	E	SI1	VG	G	GIA	5718.00
1680	 2.08 	Very Good	I	VS2	VG	VG	GIA	16664.00
1681	 0.92 	Ideal	I	VS2	VG	VG	GIA	3679.00
1682	 1.14 	Signature-Ideal	H	SI1	ID	ID	AGSL	7079.00
1683	 0.76 	Ideal	D	SI1	VG	VG	GIA	3075.00
1684	 0.77 	Very Good	I	VS2	VG	VG	GIA	2513.00
1685	 1.52 	Ideal	I	IF	EX	EX	GIA	12847.00
1686	 2.09 	Ideal	G	VS2	G	G	GIA	26058.00
1687	 1.27 	Ideal	H	VS1	EX	EX	GIA	8652.00
1688	 1.01 	Good	G	SI1	VG	VG	GIA	4781.00
1689	 0.75 	Very Good	I	VVS2	ID	ID	AGSL	2744.00
1690	 2.07 	Ideal	F	VS1	EX	EX	GIA	33687.00
1691	 2.50 	Ideal	H	VS2	EX	EX	GIA	29223.00
1692	 1.71 	Ideal	I	SI1	VG	EX	GIA	10668.00
1693	 1.52 	Very Good	G	SI1	EX	VG	GIA	11014.00
1694	 2.17 	Very Good	I	SI1	EX	VG	GIA	15760.00
1695	 1.30 	Ideal	I	IF	EX	VG	GIA	8027.00
1696	 1.22 	Ideal	H	VVS2	VG	EX	GIA	7835.00
1697	 0.90 	Very Good	G	IF	EX	VG	GIA	5754.00
1698	 2.66 	Ideal	G	VVS1	EX	VG	GIA	46861.00
1699	 2.16 	Ideal	G	VS2	EX	EX	GIA	27874.00
1700	 2.05 	Ideal	D	VS2	EX	EX	GIA	31298.00
1701	 1.02 	Very Good	G	VS1	EX	VG	GIA	6622.00
1702	 1.01 	Very Good	G	VS2	EX	VG	GIA	5944.00
1703	 1.00 	Good	H	SI1	VG	G	GIA	4447.00
1704	 1.01 	Very Good	E	VS2	VG	G	GIA	6522.00
1705	 2.01 	Ideal	F	SI1	EX	EX	GIA	22373.00
1706	 1.11 	Very Good	F	VS1	G	G	GIA	8233.00
1707	 1.06 	Ideal	F	VS2	EX	EX	GIA	7641.00
1708	 1.14 	Very Good	I	SI1	VG	VG	GIA	4973.00
1709	 1.36 	Signature-Ideal	H	SI1	EX	EX	GIA	8989.00
1710	 1.20 	Very Good	I	VS2	VG	VG	GIA	5986.00
1711	 2.02 	Good	I	VS2	VG	G	GIA	16593.00
1712	 1.51 	Ideal	I	VS2	VG	VG	GIA	9337.00
1713	 1.23 	Ideal	H	VS1	EX	EX	GIA	7803.00
1714	 0.90 	Very Good	F	VS1	EX	VG	GIA	5167.00
1715	 1.02 	Very Good	D	SI1	VG	G	GIA	5778.00
1716	 2.10 	Ideal	H	VS2	ID	ID	AGSL	22093.00
1717	 2.02 	Ideal	G	VS1	VG	VG	GIA	24579.00
1718	 1.50 	Very Good	F	VS2	EX	EX	GIA	13537.00
1719	 1.50 	Good	I	VS1	G	VG	GIA	9278.00
1720	 0.96 	Fair	E	SI1	VG	VG	GIA	4308.00
1721	 1.10 	Very Good	G	VS2	G	VG	GIA	7406.00
1722	 1.13 	Ideal	H	SI1	EX	VG	GIA	5671.00
1723	 1.51 	Very Good	G	VVS2	EX	EX	GIA	15110.00
1724	 1.06 	Very Good	H	SI1	EX	EX	GIA	5664.00
1725	 2.07 	Very Good	F	VS1	VG	G	GIA	29735.00
1726	 1.25 	Ideal	F	IF	VG	VG	GIA	14551.00
1727	 1.51 	Ideal	D	VVS2	ID	ID	AGSL	20613.00
1728	 1.01 	Ideal	F	VS2	EX	EX	GIA	7338.00
1729	 0.75 	Very Good	E	SI1	EX	EX	GIA	2993.00
1730	 1.50 	Ideal	I	VS2	ID	ID	AGSL	10181.00
1731	 1.51 	Very Good	G	SI1	EX	VG	GIA	10947.00
1732	 1.16 	Very Good	G	VVS1	G	VG	GIA	9023.00
1733	 1.02 	Very Good	F	VS1	VG	EX	GIA	7010.00
1734	 1.21 	Ideal	H	VVS2	ID	ID	AGSL	7954.00
1735	 1.08 	Very Good	F	VVS2	G	VG	GIA	8221.00
1736	 0.94 	Very Good	H	VS1	EX	VG	GIA	4556.00
1737	 1.74 	Very Good	D	SI1	G	VG	GIA	16286.00
1738	 2.00 	Good	H	VS1	EX	EX	GIA	17440.00
1739	 1.04 	Very Good	D	VS2	ID	EX	AGSL	7653.00
1740	 1.50 	Very Good	H	VS1	EX	EX	GIA	12152.00
1741	 1.51 	Good	I	SI1	G	VG	GIA	7461.00
1742	 1.34 	Very Good	H	VVS2	VG	VG	GIA	9735.00
1743	 1.02 	Very Good	G	SI1	VG	VG	GIA	4624.00
1744	 1.00 	Ideal	F	SI1	EX	EX	GIA	5115.00
1745	 1.00 	Good	G	SI1	VG	VG	GIA	4661.00
1746	 1.17 	Ideal	G	VVS2	EX	EX	GIA	9142.00
1747	 1.22 	Ideal	H	VS1	VG	EX	GIA	7418.00
1748	 0.90 	Very Good	D	VS2	VG	VG	GIA	4981.00
1749	 1.08 	Ideal	I	SI1	EX	EX	GIA	4705.00
1750	 1.12 	Ideal	D	SI1	G	G	GIA	7153.00
1751	 1.16 	Ideal	F	VS2	EX	EX	GIA	9432.00
1752	 2.05 	Ideal	G	IF	VG	G	GIA	34736.00
1753	 0.81 	Ideal	D	SI1	VG	VG	GIA	4053.00
1754	 0.90 	Very Good	G	VS2	G	VG	GIA	4276.00
1755	 2.02 	Good	G	SI1	VG	G	GIA	19466.00
1756	 2.13 	Very Good	G	VS2	VG	G	GIA	25921.00
1757	 1.01 	Ideal	D	IF	EX	EX	GIA	19146.00
1758	 0.87 	Very Good	D	SI1	G	G	GIA	3664.00
1759	 1.13 	Signature-Ideal	H	VS2	EX	EX	GIA	7464.00
1760	 2.02 	Very Good	F	VS2	VG	G	GIA	26435.00
1761	 2.09 	Ideal	F	SI1	ID	ID	AGSL	22280.00
1762	 1.01 	Very Good	E	VS2	EX	VG	GIA	6456.00
1763	 0.90 	Very Good	I	SI1	VG	VG	GIA	3407.00
1764	 1.17 	Ideal	F	VVS1	ID	ID	AGSL	11029.00
1765	 1.19 	Ideal	H	VS2	EX	EX	GIA	7633.00
1766	 2.22 	Ideal	G	VS1	EX	EX	GIA	32516.00
1767	 1.50 	Very Good	E	SI1	VG	G	GIA	12000.00
1768	 0.95 	Very Good	D	SI1	G	G	GIA	5101.00
1769	 1.51 	Very Good	E	VS2	VG	G	GIA	12779.00
1770	 1.15 	Ideal	H	VS2	EX	EX	GIA	6772.00
1771	 1.02 	Ideal	G	VS2	ID	ID	AGSL	6499.00
1772	 0.90 	Very Good	G	VS1	VG	VG	GIA	4813.00
1773	 2.20 	Ideal	D	VS2	VG	VG	GIA	32780.00
1774	 1.11 	Ideal	G	VVS1	EX	EX	GIA	9345.00
1775	 1.20 	Ideal	E	VVS2	VG	VG	GIA	11883.00
1776	 1.51 	Very Good	I	VS1	VG	VG	GIA	10231.00
1777	 0.90 	Good	G	VS2	EX	G	GIA	4291.00
1778	 1.09 	Ideal	H	VS2	ID	ID	AGSL	5732.00
1779	 1.57 	Very Good	D	SI1	EX	EX	GIA	12697.00
1780	 1.01 	Ideal	D	SI1	EX	EX	GIA	6257.00
1781	 2.20 	Ideal	F	IF	EX	EX	GIA	48845.00
1782	 0.90 	Very Good	I	VS2	VG	VG	GIA	3605.00
1783	 1.58 	Ideal	H	VS2	EX	VG	GIA	11419.00
1784	 2.15 	Very Good	G	VS2	EX	EX	GIA	25538.00
1785	 2.01 	Very Good	G	SI1	EX	VG	GIA	19079.00
1786	 2.15 	Very Good	I	VS2	VG	VG	GIA	17774.00
1787	 1.51 	Good	F	VS2	G	G	GIA	13010.00
1788	 2.22 	Very Good	H	SI1	VG	VG	GIA	20073.00
1789	 1.27 	Ideal	G	VS2	EX	EX	GIA	9489.00
1790	 1.32 	Very Good	H	VVS2	VG	VG	GIA	9513.00
1791	 1.04 	Ideal	G	VS2	VG	VG	GIA	6468.00
1792	 1.07 	Very Good	G	VS2	VG	G	GIA	6274.00
1793	 0.83 	Ideal	H	VS1	ID	ID	AGSL	3433.00
1794	 0.77 	Very Good	D	SI1	EX	EX	GIA	3040.00
1795	 1.05 	Ideal	I	SI1	EX	EX	GIA	4516.00
1796	 1.52 	Ideal	H	SI1	ID	ID	AGSL	11797.00
1797	 1.19 	Good	H	VS1	EX	EX	GIA	7152.00
1798	 0.77 	Very Good	F	VS2	VG	EX	GIA	3500.00
1799	 1.01 	Ideal	D	IF	EX	VG	GIA	17458.00
1800	 1.55 	Ideal	G	VVS2	EX	EX	GIA	15979.00
1801	 2.05 	Ideal	I	SI1	VG	VG	GIA	15629.00
1802	 2.00 	Very Good	F	SI1	G	G	GIA	18759.00
1803	 1.51 	Very Good	F	VVS2	EX	EX	GIA	17203.00
1804	 2.08 	Very Good	H	VS1	ID	ID	AGSL	23041.00
1805	 2.23 	Ideal	I	VVS2	EX	EX	GIA	22328.00
1806	 1.29 	Ideal	H	VS2	ID	ID	AGSL	8482.00
1807	 2.01 	Good	H	SI1	VG	VG	GIA	14968.00
1808	 1.20 	Ideal	D	SI1	EX	EX	GIA	8037.00
1809	 2.14 	Ideal	I	SI1	EX	EX	GIA	17213.00
1810	 1.62 	Ideal	I	VVS1	EX	EX	GIA	12186.00
1811	 1.11 	Ideal	F	VS2	EX	VG	GIA	8347.00
1812	 1.50 	Good	E	VS2	VG	VG	GIA	12649.00
1813	 1.01 	Very Good	H	VS2	G	G	GIA	5861.00
1814	 2.07 	Very Good	H	VS2	EX	EX	AGSL	19602.00
1815	 1.00 	Fair	F	VS2	G	G	GIA	6210.00
1816	 1.14 	Very Good	D	SI1	EX	EX	GIA	6464.00
1817	 1.20 	Good	G	VS2	VG	VG	GIA	6793.00
1818	 1.20 	Ideal	F	VVS1	EX	EX	GIA	11840.00
1819	 0.90 	Ideal	I	SI1	EX	EX	GIA	3537.00
1820	 2.26 	Ideal	F	VS1	EX	G	GIA	35200.00
1821	 1.20 	Ideal	G	VS1	EX	EX	GIA	9625.00
1822	 1.30 	Ideal	I	SI1	VG	VG	GIA	6451.00
1823	 1.01 	Ideal	F	VS1	EX	VG	GIA	6945.00
1824	 1.53 	Ideal	F	SI1	ID	ID	AGSL	12616.00
1825	 0.75 	Ideal	I	VS2	EX	EX	GIA	2680.00
1826	 0.85 	Ideal	G	SI1	VG	EX	GIA	3403.00
1827	 1.02 	Good	F	SI1	VG	VG	GIA	4983.00
1828	 0.81 	Very Good	I	VS2	G	G	GIA	2714.00
1829	 1.51 	Very Good	I	VS2	G	VG	GIA	9058.00
1830	 1.00 	Good	I	VS1	EX	G	GIA	4489.00
1831	 2.10 	Very Good	F	VS2	EX	EX	GIA	29308.00
1832	 1.06 	Ideal	G	VS2	VG	EX	GIA	6570.00
1833	 2.02 	Very Good	D	VS2	VG	G	GIA	31941.00
1834	 1.58 	Ideal	H	VVS2	EX	EX	GIA	13397.00
1835	 0.91 	Very Good	I	VS2	VG	G	GIA	3664.00
1836	 1.04 	Very Good	G	VVS2	G	G	GIA	8107.00
1837	 2.58 	Ideal	E	VS2	VG	EX	GIA	40625.00
1838	 1.54 	Ideal	H	VS1	ID	ID	AGSL	12120.00
1839	 1.23 	Ideal	H	VVS2	EX	EX	GIA	8509.00
1840	 0.96 	Very Good	H	SI1	EX	VG	GIA	4027.00
1841	 2.19 	Ideal	G	IF	EX	EX	GIA	40667.00
1842	 1.23 	Very Good	I	VS2	G	VG	GIA	5874.00
1843	 1.20 	Very Good	G	VS1	G	VG	GIA	8150.00
1844	 1.50 	Good	I	VS2	EX	VG	GIA	8999.00
1845	 1.00 	Good	G	SI1	VG	G	GIA	4859.00
1846	 1.21 	Very Good	E	VVS2	EX	VG	GIA	11213.00
1847	 1.22 	Good	G	VS2	EX	VG	GIA	8533.00
1848	 1.01 	Very Good	G	VS2	EX	G	GIA	5777.00
1849	 1.59 	Ideal	D	SI1	VG	VG	GIA	13298.00
1850	 1.14 	Signature-Ideal	G	VS1	ID	ID	AGSL	9090.00
1851	 1.09 	Ideal	E	VS1	VG	EX	GIA	8810.00
1852	 1.15 	Very Good	E	VVS1	VG	VG	GIA	11906.00
1853	 1.20 	Ideal	G	VS1	VG	VG	GIA	8954.00
1854	 1.20 	Very Good	D	SI1	EX	VG	GIA	8089.00
1855	 0.90 	Good	E	SI1	VG	VG	GIA	3931.00
1856	 2.18 	Ideal	H	VS2	EX	EX	GIA	23470.00
1857	 0.90 	Good	D	SI1	EX	VG	GIA	4117.00
1858	 0.91 	Very Good	G	VS2	EX	EX	GIA	5484.00
1859	 1.00 	Very Good	E	SI1	EX	EX	GIA	6207.00
1860	 1.14 	Ideal	E	VS1	VG	VG	GIA	8845.00
1861	 1.50 	Very Good	H	VVS1	VG	VG	GIA	11654.00
1862	 1.10 	Signature-Ideal	G	SI1	ID	ID	AGSL	6837.00
1863	 1.00 	Very Good	E	SI1	VG	VG	GIA	5051.00
1864	 1.72 	Ideal	G	SI1	ID	ID	AGSL	13215.00
1865	 2.02 	Very Good	H	VS1	VG	VG	GIA	21039.00
1866	 1.34 	Very Good	I	VS2	VG	VG	GIA	6883.00
1867	 1.01 	Ideal	D	VS1	EX	EX	GIA	8977.00
1868	 0.90 	Very Good	D	SI1	VG	VG	GIA	4661.00
1869	 1.52 	Ideal	F	VVS2	EX	EX	GIA	20211.00
1870	 1.00 	Very Good	E	VS2	EX	EX	GIA	7060.00
1871	 1.20 	Very Good	G	IF	EX	EX	GIA	10495.00
1872	 1.21 	Very Good	D	VVS2	VG	VG	GIA	13630.00
1873	 0.85 	Ideal	D	SI1	VG	VG	GIA	3639.00
1874	 2.00 	Good	F	SI1	G	G	GIA	18376.00
1875	 1.08 	Very Good	G	VS2	VG	G	GIA	6777.00
1876	 1.50 	Good	F	SI1	G	G	GIA	11668.00
1877	 1.52 	Very Good	I	SI1	ID	EX	AGSL	9163.00
1878	 1.04 	Ideal	G	VS2	VG	VG	GIA	6481.00
1879	 1.02 	Very Good	E	SI1	VG	VG	GIA	5207.00
1880	 1.64 	Signature-Ideal	I	VS2	ID	ID	AGSL	12199.00
1881	 2.00 	Good	G	VS2	EX	G	GIA	20426.00
1882	 2.64 	Very Good	D	IF	VG	EX	GIA	93813.00
1883	 0.90 	Very Good	I	SI1	G	G	GIA	3168.00
1884	 1.01 	Very Good	G	VS1	EX	EX	GIA	6905.00
1885	 0.90 	Ideal	H	VS1	VG	EX	AGSL	4634.00
1886	 0.90 	Good	F	VS1	VG	VG	GIA	4508.00
1887	 0.90 	Very Good	H	VS2	VG	VG	GIA	4314.00
1888	 1.40 	Ideal	G	VVS2	VG	VG	GIA	14231.00
1889	 2.01 	Very Good	D	SI1	VG	VG	GIA	21440.00
